Company Name,Sector,Funding Stage,Amount,Headquarters,Description,Funding Year,Year Founded,Founders,Investors
Mihuru,Finance,Seed,150000,Mumbai,Mihuru is an online platform which gives micro loans for air travel .,2018,nan,,
Fyle,Accounting,Seed,1100000,Bengaluru,Fyle is an intelligent expense management platform for enterprises.,2018,nan,,
AppWharf,Artificial Intelligence,Seed,0,New Delhi,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,2018,nan,,
Antariksh Waste Ventures Pvt ltd,Internet of Things,Seed,7300,Chennai,Waste Management for Smart Cities,2018,nan,,
Cogoport,Air Transportation,Series A,6000000,Mumbai,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,2018,nan,,
PaisaDukan,Financial Services,Seed,650000,Mumbai,A P2P lending marketplace platform,2018,nan,,
Sleepy Owl Coffee,Food and Beverage,Seed,511000,New Delhi,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",2018,nan,,
BlueJack,Autonomous Vehicles,Seed,934400,Delhi,Delhi-based online used vehicles marketplace.,2018,nan,,
PregBuddy,Enterprise Software,Seed,0,Bengaluru,PregBuddy is a smart connected care platform for expecting mothers.,2018,nan,,
AgNext Technologies,Agriculture,Series A,0,Mohali,AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,2018,nan,,
Pando,Logistics,Seed,2000000,Chennai,A startup which digitizes logistics operations for Fortune 500 companies.,2018,nan,,
Mintifi,Financial Services,Seed,2000000,Mumbai,Online lending startup based in Mumbai.,2018,nan,,
Carcrew,Automotive,Seed,2000000,Mumbai,India's Online Auto Repair Marketplace,2018,nan,,
NicheAI,Artificial Intelligence,Angel,0,Hyderabad,Early stage Artificial Intelligence (AI) start up.,2018,nan,,
Chariot Tech,Internet of Things,Seed,292000,New Delhi,Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,2018,nan,,
Ideal Insurance Brokers/ 121Policy.com,Insurance,Seed,1000000,Kolkata,Ideal Insurance Broking is one of the leaders in insurance broking domain.,2018,nan,,
Loanzen,Financial Services,Seed,0,Bangalore,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,2018,nan,,
Mojro Technologies,Information Technology,Seed,650000,Bengaluru,Mojro envisions to be the world's largest technology-enabled logistics platform.,2018,nan,,
Elemential,Blockchain,Seed,1000000,Mumbai,"Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",2018,nan,,
Loadshare,Industrial Automation,Series A,5000000,Bengaluru,LoadShare is India’s fastest growing logistics company,2018,nan,,
Yumlane,Food and Beverage,Series A,4000000,Mumbai,Food startup Yumlane operated by QwikPik Technology,2018,nan,,
Kriger Campus,Education,Seed,438000,New Delhi,A Education Start Up.,2018,nan,,
Pipa+Bella,E-Commerce,Series A,1000000,Mumbai,Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,2018,nan,,
Kaleidofin,Financial Services,Seed,2800000,Chennai,A fintech platform.,2018,nan,,
Chakr Innovation,Renewable Energy,Seed,0,New Delhi,Chakr has developed the world’s first retro-fit emission control device for diesel generators.,2018,nan,,
IndigoLearn,E-Learning,Seed,150000,Hyderabad,India's the premier education destination catering to the needs of aspiring students of the CA community.,2018,nan,,
UClean,Clean Energy,Seed,584000,India,UClean is a tech enabled laundry service provider.,2018,nan,,
Coutloot,E-Commerce,Seed,1000000,Mumbai,The Fashion Re-commerce platform.,2018,nan,,
Letstrack,Apps,Seed,1700000,New Delhi,"Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",2018,nan,,
Pooltoo,Transportation,Seed,0,New Delhi,Pooltoo offers a premium ride sharing platform.,2018,nan,,
Finzy,Financial Services,Seed,1300000,Bangalore,finzy is the premier peer to peer lending solution in India.,2018,nan,,
Fitternity,Fitness,Seed,2000000,Mumbai,India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,2018,nan,,
Keito,Artificial Intelligence,Seed,0,Pune,Building an Intelligent Digital Assistant.,2018,nan,,
Tolet for Students,Hospitality,Seed,73000,Jodhpur,"Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",2018,nan,,
Chai Kings,Food and Beverage,Seed,292000,Chennai,Chai Kings is a tea retail chain,2018,nan,,
Dainik Jagran,Media and Entertainment,Seed,584000,Kanpur,Dainik Jagran is a media and communications group.,2018,nan,,
Playtoome,Broadcasting,Seed,292000,Bengaluru,Playtoome is a live entertainment destination,2018,nan,,
ONGO Framework,B2B,Angel,1000000,Hyderabad,ONGO Framework is a B2B IT and digital solution provider.,2018,nan,,
Notesgen,EdTech,Seed,182500,New Delhi,A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,2018,nan,,
Arogya MedTech,Health Care,Seed,219000,Kolkata,Arogya MedTech is a Research & Development organization in Bio-Medical industry.,2018,nan,,
Propshop24,E-Commerce,Seed,500000,Mumbai,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",2018,nan,,
myUpchar,Health Care,Series A,5000000,New Delhi,To bring health issues to people in their language.,2018,nan,,
MissMalini Entertainment,—,Seed,1518400,Mumbai,"MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",2018,nan,,
Rooter,Sports,Seed,657000,India,Rooter is a mobile-based platform,2018,nan,,
ZestMoney,Big Data,Series A,13400000,Bangalore,Zest is India's first completely automated consumer digital lending platform.,2018,nan,,
alphaics Corporation,Cloud Computing,Seed,0,Bengaluru,Advancing AI compute,2018,nan,,
MyDentistChoice,Health Care,Seed,500000,Hyderabad,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,2018,nan,,
Sattviko,Food Processing,Angel,0,New Delhi,Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,2018,nan,,
Sensibull,Trading Platform,Seed,365000,Bangalore,Investment Management Platform,2018,nan,,
Bombay Shaving Company,Consumer Goods,Series A,0,New Delhi,Bombay Shaving Company is a Men's grooming startup,2018,nan,,
MedCords,Wellness,Seed,385440,Pune,Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,2018,nan,,
University Living,Education,Seed,0,New Delhi,University Living is an online global student housing marketplace.,2018,nan,,
&ME,Food and Beverage,Seed,0,Bangalore,Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,2018,nan,,
Enakshi,Fashion,Seed,116800,Ahmedabad,Enakshi is an online apparel brand for women.,2018,nan,,
Ultraviolette Automotive,Automotive,Series A,876,Bangalore,Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,2018,nan,,
Inthree Access,Consulting,Series A,4000000,Chennai,Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,2018,nan,,
BUGWORKS Research India,Biotechnology,Series A,9000000,Bangalore,BUGWORKS is a drug discovery company.,2018,nan,,
Guardian.in,Health Care,Seed,0,Mumbai,GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,2018,nan,,
PrestLoans,Credit,Seed,100000,New Delhi,"PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",2018,nan,,
Wimoxez,Internet,Seed,20000,Hyderabad,"Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",2018,nan,,
India Accelerator,Communities,Angel,0,Gurgaon,India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,2018,nan,,
HappyEMI,Consumer,Seed,1000000,Bangalore,HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,2018,nan,,
Wishup,Consumer Applications,Seed,0,Azadpur,Premium Personal Assistance service,2018,nan,,
Hansel.io,Mobile,Series A,4000000,Bangalore,"Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",2018,nan,,
Propelld,Education,Seed,250000,Bengaluru,Propelld is a student education financing platform.,2018,nan,,
PivotRoots,Advertising,Series A,0,Mumbai,Digital Marketing powered by Data & Technology; fueled by Design thinking,2018,nan,,
ZiffyHomes,Marketplace,Seed,120000,New Delhi,ZiffyHomes is a technology driven marketplace to find out home on rent.,2018,nan,,
Carmesi,Health Care,Seed,496400,Gurgaon,Carmesi is a brand of high-end menstrual-hygiene products in India.,2018,nan,,
OckyPocky,E-Learning,Angel,0,Haryana,OckyPocky is a interactive and personalised language learning app for preschool kids.,2018,nan,,
Racetrack,Artificial Intelligence,Seed,4993200,Bangalore,"Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",2018,nan,,
WHR,Health Care,Seed,143145,Pune,"WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",2018,nan,,
Asteria Aerospace,Aerospace,Seed,0,Bangalore,Asteria Aerospace is a robotics and artificial intelligence company.,2018,nan,,
FabAlley,E-Commerce,Series B,8760000,Noida,"FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",2018,nan,,
Tranzmeo,Artificial Intelligence,Pre-Seed,0,Cochin,Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,2018,nan,,
SBI Life,Insurance,Private Equity,742000000,Mumbai,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,2018,nan,,
Studds Accessories,E-Commerce,Private Equity,14600000,Faridabad,Studds Accessories is a scooter accessories service provider in India,2018,nan,,
Design Cafe,Home Decor,Series B,29200000,Bengaluru,"Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",2018,nan,,
NoPaperForms Solutions Pvt. Ltd.,EdTech,Series B,3980000,New Delhi,"NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",2018,nan,,
Rays Power Infra,Energy,Venture - Series Unknown,29200000,Jaipur,Rays Power Infra is a leading integrated Solar Power Company.,2018,nan,,
AuthMetrik,B2B,Grant,10000,Gurgaon,"SaaS, B2B, Security, Stop account sharing, Fraud Detection",2018,nan,,
Khidki,Artificial Intelligence,Seed,0,Bangalore,Vernacular Social Network Focused on Town Level Content and Interactions,2018,nan,,
LetsTransport,Logistics,Series B,14600000,Bangalore,Lets transport is a logistics solution provider.,2018,nan,,
Next Digital Solutions,Digital Marketing,Angel,1460,Kota,Next Digital Solutions is website design & Digital Marketing development company.,2018,nan,,
Portea Medical,Health Care,Debt Financing,3650000,Bangalore,Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,2018,nan,,
Aavas Financiers,Finance,Post-IPO Debt,29200000,Jaipur,"Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",2018,nan,,
Swiggy,Food Delivery,Series H,1000000000,Bangalore,Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,2018,nan,,
Milkbasket,E-Commerce,Series A,7000000,Haryana,"Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",2018,nan,,
Nutrisattva (Proliva),Fitness,Angel,0,Anand,Nutrisattva is a protein innovation compan,2018,nan,,
Toppr,EdTech,Series C,35000000,Mumbai,Toppr.com is an online preparation platform for entrance exams in India.,2018,nan,,
Jagaran Microfin,—,Debt Financing,8030000,Kolkata,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,2018,nan,,
Vivriti Capital,Financial Services,Venture - Series Unknown,28500000,Chennai,Vivriti Capital is an online platform for institutional debt in India.,2018,nan,,
Be U Salons,Apps,Seed,438000,New Delhi,Be U is India's first subscription based Salon Chain.,2018,nan,,
Impact Guru,Creative Agency,Series A,2000000,Mumbai,"We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",2018,nan,,
MobiKwik,Consumer Lending,Series E,3504000,Gurgaon,MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,2018,nan,,
Stones2Milestones,E-Learning,Seed,0,Gurgaon,Stones2milestones is a Gurgaon Based Learning Company.,2018,nan,,
Generico,Health Care,Series A,0,Mumbai,Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,2018,nan,,
Adiuvo Diagnostics,Health Diagnostics,Seed,0,Chennai,Adiuvo Diagnostics is a medical diagnostic device company based in India.,2018,nan,,
DataTrained,EdTech,Seed,1752000,Bangalore,"DataTrained is a educational platform, which operates an ed-tech startup on data science",2018,nan,,
OneAssist,Financial Services,Debt Financing,2400000,Mumbai,OneAssist is a protection & assistance services platform.,2018,nan,,
Satin Creditcare Network Limited (SCNL),Banking,Post-IPO Debt,30000000,New Delhi,Satin is a non-banking finance company providing individual loans to urban shopkeepers.,2018,nan,,
APAC Financial Services,Finance,Private Equity,36500000,Mumbai,APAC Financial Services is a financial services platform.,2018,nan,,
Moglix,B2B,Series C,23000000,Noida,"Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",2018,nan,,
SEDEMAC Mechatronics,Automotive,Venture - Series Unknown,0,Mumbai,SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,2018,nan,,
MadGuy Labs,E-Learning,Venture - Series Unknown,150000,Hyderabad,MadGuy Labs is a Online Test-prep Platform.,2018,nan,,
Dee Dee Labs,Embedded Systems,Seed,0,Pune,Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,2018,nan,,
FLEECA,—,Seed,0,Jaipur,FLEECA is a Tyre Care Provider company.,2018,nan,,
Shop101,Apps,Series B,11000000,Mumbai,#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,2018,nan,,
FeedMyPockets,Advertising,Seed,642400,Bangalore City,On Demand Staffing Platform,2018,nan,,
Housejoy,Beauty,Series B,3240000,Bengaluru,Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,2018,nan,,
Ambee,Health Care,Angel,0,Bangalore,Ambee is an Environment analytics startup.,2018,nan,,
FoodBuddy,Food Delivery,Seed,876000,Belgaum,"FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",2018,nan,,
Ninjacart,AgTech,Series B,36500000,Bengaluru,Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,2018,nan,,
Olly Smart Credit Card,Credit Cards,Seed,0,New Delhi,Olly is a digital credit card for India's working masses and young people.,2018,nan,,
Zestl,Software,Seed,0,Pune,"No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.",2018,nan,,
BYJU’S,EdTech,Private Equity,540000000,Bangalore,BYJU’s is an edtech company that is reinventing how students learn through its learning app.,2018,nan,,
Wakefit,Manufacturing,Venture - Series Unknown,9490000,Bangalore,Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,2018,nan,,
Hero Electric,Manufacturing,Venture - Series Unknown,23360000,New Delhi,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",2018,nan,,
Pentation Analytics,Information Services,Seed,0,Mumbai,Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,2018,nan,,
PerkFinance,Consumer Lending,Seed,900000,Bangalore,PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,2018,nan,,
Roposo,Internet,Series C,10000000,Gurgaon,Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,2018,nan,,
Plum Goodness,Beauty,Series A,0,Thane,Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,2018,nan,,
Drstore,Hospital,Seed,0,Mumbai,Drstore is a exclusive e- commerce platform.,2018,nan,,
Wow Venue,Events,Venture - Series Unknown,1500000,Mumbai,Wow Venue is an online platform.,2018,nan,,
Chizel,3D Printing,Seed,0,Pune,Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,2018,nan,,
OTO Capital,Automotive,Seed,730000,Mumbai,OTO Capital is a platform that allows you to own a car faster than ever.,2018,nan,,
Boodmo,Automotive,Seed,1022000,Gurgaon,boodmo.com - large online marketplace for auto parts in India.,2018,nan,,
Khabri,Apps,Seed,0,Haryana,Khabri is a digital audio platform for content in vernacular.,2018,nan,,
MyNewCar.in,Automotive,Venture - Series Unknown,1000000,Gurgaon,MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,2018,nan,,
HalaPlay Technologies,Digital Entertainment,Series A,5000000,Bangalore,A daily fantasy sports platform.,2018,nan,,
PlanetSpark,E-Learning,Seed,233600,Gurgaon,PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,2018,nan,,
WheelsEMI,—,Series B,14000000,Pune,"WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",2018,nan,,
Forum for Innovation Incubation Research and Entrepreneurship,Funding Platform,Grant,1496500,Margão,"FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",2018,nan,,
OYO,Hospitality,Series E,100000000,Gurgaon,OYO is an Indian hospitality startup that operates a network of budget hotels.,2018,nan,,
Quikr,Classifieds,Debt Financing,8030000,Bangalore,"Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",2018,nan,,
Tabono,Sports,Seed,0,Gurgaon,Tabono is a one stop environment for all your fitness solution.,2018,nan,,
LearnApp,Banking,Seed,292000,Noida,"Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",2018,nan,,
Shopkirana,E-Commerce,Venture - Series Unknown,2000000,Indore,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,2018,nan,,
Fric Bergen,—,Venture - Series Unknown,0,Alwar,Fric Bergen is a leader in the specialty food industry.,2018,nan,,
Articbot,Artificial Intelligence,Grant,17520,Kannur,Articbot is a conversational AI platform for automated customer support and lead generation,2018,nan,,
BuildSupply,Enterprise Resource Planning (ERP),Series A,3650000,Gurgaon,India’s most advanced ERP system for the real estate,2018,nan,,
Fusion Microfinance,Banking,Series E,75920000,New Delhi,Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,2018,nan,,
Any time Doctor,Software,Angel,0,Chennai,Anytime Doctor is a Software company.,2018,nan,,
Go Payments,Information Services,Corporate Round,0,Mumbai,Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,2018,nan,,
Guiddoo World,Audio,Seed,800000,Mumbai,We build In-Destination Experiences!,2018,nan,,
ION Energy,Energy,Venture - Series Unknown,1041000,Mumbai,A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,2018,nan,,
UnoTag,Artificial Intelligence,Pre-Seed,100000,Bangalore,SaaS to verify counterfeit,2018,nan,,
CivilCops,Government,Pre-Seed,100000,Gurgaon,Gov-Tech,2018,nan,,
Rockmetric,Information Technology,Grant,0,Mumbai,"Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement.",2018,nan,,
Classworks India,Education,Undisclosed,1460,Chennai,"Saas, Web App, Mobile App, School Education",2018,nan,,
Snapmint,Consumer Lending,Seed,0,Mumbai,"Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card.",2018,nan,,
artbandhu,Digital Media,Pre-Seed,15000,Bangalore,Ai platform for Art and Creative Community,2018,nan,,
Survaider,Business Intelligence,Seed,500000,Bengaluru,Stethoscope for customer feedback !,2018,nan,,
Credy,Credit,Seed,1400000,Bengaluru,Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,2018,nan,,
iChamp,E-Learning,Seed,5000000,Gurgaon,iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,2018,nan,,
Qandle,Software,Seed,1200000,Gurgaon,A cloud-based HR management and employee engagement platform.,2018,nan,,
Avishkaar Box,Children,Seed,730000,Delhi,"Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",2018,nan,,
Gegadyne Energy,Automotive,Angel,0,Mumbai,A Mumbai-based startup Electric Vehicle (EV) & Energy Storage company.,2018,nan,,
HyperXchange,E-Commerce,Series A,1000000,Pune,hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets,2018,nan,,
Deftouch,—,Seed,0,Bangalore,Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game.,2018,nan,,
Doodhwala,Food Delivery,Seed,2200000,Bengaluru,Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,2018,nan,,
DronaHQ,Mobile,Angel,500000,Mumbai,DronaHQ is an enterprise mobile engagement platform.,2018,nan,,
FastFox,Rental,Series A,1460000,Gurgaon,FastFox: Market Network for Home Rentals (India),2018,nan,,
BuyForexOnline,Travel,Seed,2000000,Bangalore,BuyForexOnline.com is India's first completely online provider for buying Foreign Exchange.,2018,nan,,
Colive.in,Consumer,Seed,1800000,Bangalore,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,2018,nan,,
Agricxlab Private Limited,B2B,Seed,500000,Thane,Online marketplace where farmers and traders can sell their produce to B2B buyers,2018,nan,,
Corefactors,—,Seed,0,Bangalore,"Corefactors is a leading campaign management, business communication and analytics company.",2018,nan,,
Fincash.com,Wealth Management,Seed,150000,Mumbai,A startup in the personal finance space in India .,2018,nan,,
Pandorum Technologies,Biotechnology,Series A,3600000,Bengaluru,Bengaluru based biotech startup.,2018,nan,,
Shirsa Labs,Education,Seed,500000,Mumbai,Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,2018,nan,,
PetSutra,Veterinary,Seed,138700,Gurgaon,Gurugram-based Online petcare platform.,2018,nan,,
Awaaz De,Internet,Angel,0,Ahmedabad,Awwaz.De develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.,2018,nan,,
PinkBlue,Health Care,Seed,300000,Bangalore,PinkBlue.in - Super-efficient supply-chain for clinical supplies,2018,nan,,
Eduvanz,Finance,Angel,500000,Mumbai,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",2018,nan,,
Rupeek,Financial Services,Series A,6830000,Bangalore,Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.,2018,nan,,
Backpacker Panda Holidays Private Limited,Tourism,Series A,1400000,Pune,Backpacker Panda is creating an ecosystem for youth accommodation and travel.,2018,nan,,
Shape (School Health and Physical Education),Education,Seed,200000,Pune,Physical education start up,2018,nan,,
Placio,Hospitality,Seed,2000000,Noida,Placio is a student housing and a complete broker-free platform.,2018,nan,,
Aviom India Housing Finance,Finance,Series A,2190000,New Delhi,Delhi based housing finance company.,2018,nan,,
GenRobotic,Market Research,Seed,0,Trivandrum,A Robotic Company.,2018,nan,,
HeyHolidays,Tourism,Seed,1000000,Bangalore,"HeyHolidays, a global player in online vacation rentals.",2018,nan,,
Pratilipi,Digital Media,Series A,4300000,Bengaluru,Amazon's Kindle Direct Publishing for Indian Languages,2018,nan,,
SectorQube,Consumer Electronics,Seed,0,Ernakulam,SectorQube develops smart kitchen devices that make food automatically.,2018,nan,,
Food Memories,Food and Beverage,Seed,0,Ahmedabad,Iconic Indian Delicacies from the most renowned vendors of India Delivered Globally.,2018,nan,,
ZAMROO,Internet,Seed,0,India,Zamroo is a growing mobile marketplace that allows users to buy and sell locally.,2018,nan,,
Silversparro Technologies Pvt. Ltd,Analytics,Seed,300000,Gurgaon,Silversparro is a deep learning technology solution provider.,2018,nan,,
Creator’s Gurukul,Facilities Support Services,Angel,0,Gurgaon,A coworking space provider.,2018,nan,,
Emflux Motors,Automotive,Seed,364846,Bengaluru,Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.,2018,nan,,
Tricog Health Services Pvt Ltd,Health Care,Series A,4000000,Bangalore,Predictive Healthcare Analytics Company,2018,nan,,
Scapic,Cloud Computing,Seed,500000,Bangalore,Virtual/Augmented Reality Start Up .,2018,nan,,
6Degree,Fashion,Seed,400000,Mumbai,A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,2018,nan,,
Chrysalis (EZ Vidya),Education,Seed,0,Chennai,Chrysalis (EZ Vidya) is India’s leading educational research and innovation organization,2018,nan,,
Ekincare,Medical,Series A,1500000,Hyderabad,EKincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere.,2018,nan,,
Streo,Music Streaming,Seed,0,Gurgaon,"Live stream music from nightclubs, bars & festivals!",2018,nan,,
Groww,Finance,Seed,120000,Kormangala,Groww offers a new way of investing money.,2018,nan,,
Cell Propulsion,—,Seed,102200,Bangalore,Cell Propulsion is an electric mobility startup that designs autonomous electric vehicles.,2018,nan,,
Chezuba,Internet,Angel,20440,Hyderabad,Chezuba is a web-based platform enabling skilled professionals to volunteer online with Non-profits worldwide,2018,nan,,
Ontrack Technologies Pvt. Ltd,Retail,Seed,0,Bangalore,Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis.,2018,nan,,
Wealthtrust,Finance,Seed,500000,Mumbai,Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online.,2018,nan,,
Faclon Labs,Cloud Computing,Seed,0,Mumbai,Faclon is an IoT and data analytics based tech startup building products to make cities and villages smart.,2018,nan,,
Awign Enterprises,Business Development,Seed,730000,Bangalore,Operations and manpower outsourcing startup,2018,nan,,
CollPoll,Education,Seed,0,Bangalore,World-class Enterprise System for Education.,2018,nan,,
Zyla Health,Health Care,Seed,0,New Delhi,Zyla is transforming the way healthcare is delivered in India with specific focus on high-risk chronic patients.,2018,nan,,
Hubhopper,Internet,Series A,500000,Delhi,Get your daily dose of interest as summaries from news and magazine stories .,2018,nan,,
Rubix108 Technologies,Information Technology,Seed,1000000,Pune,Rubix Total App makes it effortless for Institutes to send home important information and updates about the day’s learning experiences.,2018,nan,,
